Job Title,Company,Location,Skill,Role,City
Performance Reporting,Crisil,"Chennai, Tamil Nadu  ",r,Financial Analyst,Chennai
Research Analyst,Crisil,"Gurgaon, Haryana  ","valuation, r",Financial Analyst,Gurgaon
lead analyst,Crisil,"Mumbai, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
Senior / Research Analyst - Credit Analysis of Financial Institutions,Crisil,"Mumbai, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
Associate Back Office,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Personal Assistant to Director( 0 to 3 years exp),Valves Only,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Senior Research Analyst,Crisil,"Pune, Maharashtra  ",r,Financial Analyst,Pune
Associate - Chairman’s Office,Academy of Digital Health Sciences,"New Delhi, Delhi  ","git, r",Financial Analyst,New Delhi
Credit Risk - IRB Wholesale Model Developer (P2),Crisil,"Bengaluru, Karnataka  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Bengaluru
Senior credit analyst - FI,Crisil,"Pune, Maharashtra  ",r,Financial Analyst,Pune
Research Analyst / Senior Research Analyst - Credit Analysis of Funds,Crisil,"Gurgaon, Haryana  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Gurgaon
Executive Assistant,Magenka,"Kolkata, West Bengal  ","excel, go, r, excel",Financial Analyst,Kolkata
Research Analyst,Crisil,"Mumbai, Maharashtra  ","erp, r",Financial Analyst,Mumbai
Credit Analysis - Public Finance,Crisil,"Pune, Maharashtra  ",r,Financial Analyst,Pune
Executive Assistant( 0 to 4 years exp),Specialityvalve,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Analyst/Management Trainee,Crisil,"Mumbai, Maharashtra  ","r, financialmodeling",Financial Analyst,Mumbai
Equity Research Analyst - Healthcare Sector,Crisil,"Pune, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Pune
Research Analyst,Crisil,"Gurgaon, Haryana  ","go, r",Financial Analyst,Gurgaon
Manager/SRA,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Retainer_ Night Shift,Crisil,"Pune, Maharashtra  ","r, problemsolving",Financial Analyst,Pune
Senior Analyst,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Lead Analyst Manager,Crisil,"Chennai, Tamil Nadu  ",r,Financial Analyst,Chennai
Senior credit analyst - Insurance,Crisil,"Pune, Maharashtra  ",r,Financial Analyst,Pune
Management Trainee,Crisil,"Pune, Maharashtra  ","valuation, r",Financial Analyst,Pune
Secretary To President,Crisil,"Pune, Maharashtra  ","timemanagement, r",Financial Analyst,Pune
Associate - Chairman’s Office,International Patients’ Union,"New Delhi, Delhi  ",r,Financial Analyst,New Delhi
Cross Asset Strategy,Crisil,"Chennai, Tamil Nadu  ","excel, go, r, excel",Financial Analyst,Chennai
Rating Analyst,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Research Analyst,Crisil,"Mumbai, Maharashtra  ","erp, riskmanagement, r",Financial Analyst,Mumbai
Senior FP&A Analyst,Allegion,"Bengaluru, Karnataka  ",r,Financial Analyst,Bengaluru
Equity Research Analyst - Chennai,Unifi Capital Pvt Ltd.,"Chennai, Tamil Nadu  ",r,Financial Analyst,Chennai
IRM,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Intern(work from office),Fidelis Healthcare Pvt. Ltd.,"Faridabad, Haryana  ",r,Financial Analyst,Faridabad
